"phoneme","count","meanF1","meanF2","meanF3","meanF4","medianF1","medianF2","medianF3","medianF4","covF1F2Mean","covWithinF1Mean","covWithinF2Mean","covF1F2Median","covWithinF1Median","covWithinF2Median"
"V",13,477.430769230772,997.613675213699,2410.58376068377,3163.4337606837,484.000000000004,977.200000000102,2380.24999999994,3170,-2458.27336222261,6174.64634575548,5253.56152065813,-2138.5363461554,6089.14192307587,4968.36602564741
"U",12,414.390123456769,1095.15632716046,2361.4625,3166.76790123466,427.249999999991,956.074999999909,2350.27499999999,3152.75000000007,-11209.824372221,3188.6546516614,100201.859631162,-12018.9981439659,3489.98795454883,99171.7710837577
"i:",7,386.900000000002,1987.24841269842,2523.67619047618,3471.47539682545,393.349999999989,1947.99999999966,2469.74999999999,3449.99999999985,-2008.96617798219,1293.64062757181,6078.03098471167,-1724.64226190556,966.379523810253,6364.3182142896
"O:",9,507.732098765426,943.559259259268,2325.31049382722,3198.31790123454,526.799999999981,921.5,2301.99999999982,3168.50000000038,1168.75613554531,1473.04829303796,2799.69659722432,852.433194444703,1948.44611111112,2531.25777777917
"{",9,597.444444444463,1415.63024691358,2506.88580246915,3473.26975308644,604.500000000052,1399.49999999997,2572.35000000003,3447.60000000035,-4570.7274189752,2665.24825617287,36938.6387430969,-4703.07673611182,2912.37902777632,37738.2100694077
