"sl_rowIdx","labels","start","end","db_uuid","session","bundle","start_item_id","end_item_id","level","attribute","start_item_seq_idx","end_item_seq_idx","type","sample_start","sample_end","sample_rate","times_orig","times_rel","times_norm","F1","F2","F3","F4"
1,"V",1459.98866213152,1499.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",224,224,"MAU","MAU",8,8,"SEGMENT",64386,66149,44100,1499.98866213152,40,1,470,897.050000000002,2453,3345
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2579.98866213152,0,0,320.9,1818.5,2457,3424.45
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2581.98866213152,2,0.05,320.9,1818.5,2457,3424.45
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2583.98866213152,4,0.1,325.8,1808,2422,3391.9
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2585.98866213152,6,0.15,330.9,1797.7,2390.2,3363.1
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2587.98866213152,8,0.2,337.2,1788.6,2377.6,3356.8
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2589.98866213152,10,0.25,343.5,1779.5,2365,3350.5
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2591.98866213152,12,0.3,343.5,1773.9,2356,3344.2
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2593.98866213152,14,0.35,341.25,1773.9,2356,3337.9
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2595.98866213152,16,0.4,336,1774.6,2356,3331.6
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2597.98866213152,18,0.45,331.5,1776.65,2355.55,3324.25
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2599.98866213152,20,0.5,328,1780.5,2354.5,3315.5
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2601.98866213152,22,0.55,324.5,1784.35,2353.45,3306.75
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2603.98866213152,24,0.6,323.55,1789.2,2352.2,3301.6
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2605.98866213152,26,0.65,323.55,1794.8,2350.8,3299.15
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2607.98866213152,28,0.7,323.55,1800.4,2349.4,3297.25
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2609.98866213152,30,0.75,323.25,1806.75,2347.25,3297.25
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2611.98866213152,32,0.8,322.2,1813.4,2344.8,3299
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2613.98866213152,34,0.85,321.15,1820.05,2344.1,3300.75
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2615.98866213152,36,0.9,317.4,1832.4,2344.1,3303.4
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2617.98866213152,38,0.95,313.2,1845.7,2346.55,3306.2
2,"U",2579.98866213152,2619.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",237,237,"MAU","MAU",21,21,"SEGMENT",113778,115541,44100,2619.98866213152,40,1,313.2,1845.7,2349,3306.2
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3849.98866213152,0,0,440.649999999997,1708.35,2356,3256.85
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3855.48866213152,5.50000000000002,0.05,440.649999999997,1708.35,2359.20000000001,3256.85
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3860.98866213152,11,0.1,432.799999999993,1720.40000000003,2361.8,3257.20000000002
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3866.48866213152,16.5000000000001,0.15,422.800000000004,1779.80000000005,2374.65000000002,3290.20000000002
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3871.98866213152,22.0000000000001,0.2,422.800000000004,1847.60000000003,2404.40000000002,3315.20000000001
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3877.48866213152,27.5000000000001,0.25,422.800000000004,1870.6,2419,3315.20000000001
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3882.98866213152,33.0000000000001,0.3,418.300000000006,1873,2423.5,3316.89999999998
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3888.48866213152,38.5000000000002,0.35,412,1877.59999999999,2433.29999999999,3316.89999999998
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3893.98866213152,44.0000000000002,0.4,410.800000000001,1895.99999999999,2441.3,3350.19999999999
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3899.48866213152,49.5000000000002,0.45,410.800000000001,1912.5,2441.3,3354.5
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3904.98866213152,55.0000000000002,0.5,410.799999999999,1927,2420.5,3361.6
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3910.48866213152,60.5000000000003,0.55,410.799999999999,1929.2,2414.55,3371.05000000001
3,"i:",3849.98866213152,3959.98866213152,"3fa9eeb6-9331-11ec-983e-27921a8c62b7","0000","gne_read",258,258,"MAU","MAU",42,42,"SEGMENT",169785,174635,44100,3915.98866213152,66.0000000000003,0.6,405.999999999997,1929.2,2390.99999999998,3376.94999999999
