"filename","Phoneme","medianF1Hz","medianF2Hz","medianF3Hz","medianF4Hz","meanF1Hz","meanF2Hz","meanF3Hz","meanF4Hz","medianF1Bark","medianF2Bark","medianF3Bark","medianF4Bark","meanF1Bark","meanF2Bark","meanF3Bark","meanF4Bark","StartMs","EndMs","midDistanceMedian"
"0000_gne_read","{",515.75,1517.25,2489.75,3747.75,517.5333,1523.2333,2519.8167,3745.2833,5.0551,11.1682,14.4709,17.0736,5.0704,11.1941,14.5501,17.0697,37614.9773,37664.9773,147.4504
"0000_gne_read","V",485,977.2,2851.6,3658.5,474.4778,1022.5778,2758.3556,3580.7222,4.7881,8.3896,15.359,16.9274,4.6952,8.6618,15.1432,16.7961,37794.9773,37934.9773,1
"0000_gne_read","V",444.5,1058.5,2185.8,3153.5,445.2333,1065.4667,2185.6278,3154.4111,4.4261,8.8715,13.6051,16.0038,4.4328,8.9116,13.6046,16.0056,40024.9773,40064.9773,90.3877
"0000_gne_read","i:",398.75,1913.5,2469.75,3423.6,402.6833,1935.85,2467.2889,3415.3167,4.0023,12.7141,14.4176,16.5193,4.0394,12.7919,14.411,16.5043,40724.9773,40814.9773,34.9201
"0000_gne_read","{",662.2,1538,2572.35,3550.4,655.4056,1554.6333,2563.0056,3515.1444,6.2405,11.2578,14.6861,16.7439,6.1884,11.3289,14.6622,16.6825,41714.9773,41914.9773,150.0385
"0000_gne_read","U",360,1167,2346.05,3291,365.3167,1173.7833,2344.3667,3275.2278,3.6302,9.4755,14.0768,16.2728,3.682,9.5119,14.072,16.2427,41984.9773,42024.9773,221.3864
"0000_gne_read","V",389.7,1090.5,2126.5,3235,387.7222,1081.4889,2123.5222,3233.2667,3.9165,9.0541,13.4212,16.165,3.8976,9.0031,13.4118,16.1616,42354.9773,42394.9773,147.4089
"0000_gne_read","{",590,1478,2206,3410,588.9667,1487.5111,2208.6667,3414.4056,5.6731,10.9956,13.6666,16.4946,5.6647,11.0378,13.6746,16.5026,43554.9773,43624.9773,79.8279
"0000_gne_read","i:",370,1948,2353,3450,370,1969.9167,2413,3430.7778,3.7274,12.8338,14.0965,16.567,3.7274,12.9088,14.2636,16.5323,44274.9773,44454.9773,23.35
"0000_gne_read","O:",526.8,916.2,2236.2,3150.6,525.2,922.6,2238.8222,3145.8,5.1494,8.0102,13.7573,15.9979,5.1358,8.0508,13.7652,15.9883,47174.9773,47324.9773,5.3
"0000_gne_read","i:",393.35,2001,2621,3364.2,391.9556,2003.4222,2623.7167,3366.3722,3.9511,13.0138,14.8092,16.4104,3.9379,13.0219,14.816,16.4144,47834.9773,47934.9773,53
"0000_gne_read","O:",430.5,849.95,2368.45,3117.3,437.0556,850.3,2340.5111,3114.9778,4.2982,7.5795,14.1399,15.9305,4.3583,7.5818,14.0611,15.9257,48674.9773,48904.9773,119.9712
"0000_gne_read","V",413.8,890.2,2371.1,3077.4,447.1,890.3889,2345.4556,3061,4.1435,7.8435,14.1474,15.8485,4.4497,7.8448,14.0751,15.8144,49794.9773,49914.9773,111.7902
"0000_gne_read","O:",531.5,904.5,2235.6,3116.45,531.7,944.5778,2251.7556,3123.3056,5.1893,7.9356,13.7555,15.9288,5.1909,8.1887,13.8036,15.9427,50004.9773,50124.9773,17.6377
"0000_gne_read","O:",521,989.5,2408,3123,514.5111,1011.3,2402.5056,3127.5722,5.1,8.4642,14.2499,15.9421,5.0445,8.5949,14.2347,15.9514,50704.9773,50814.9773,68.2469
"0000_gne_read","{",669,1399.5,2812.5,3744.2,663.2278,1405.2,2811.25,3741.6222,6.2923,10.6385,15.2695,17.0679,6.2483,10.665,15.2666,17.0637,56874.9773,56924.9773,64.5
"0000_gne_read","U",416,879.5,2722.5,3112.5,415.4444,879.75,2722.25,3126.6667,4.164,7.7741,15.0579,15.9207,4.1588,7.7757,15.0573,15.9495,57304.9773,57334.9773,77.397
"0000_gne_read","i:",354.25,2134.75,2703.75,3610.5,355.9556,2135.1278,2702.0111,3649.0167,3.5739,13.4471,15.0128,16.8468,3.5906,13.4483,15.0086,16.9116,57744.9773,57914.9773,190.7993
